chembl	schembl_id	name
CHEMBL458655	SCHEMBL5192995	CHEMBL458655
CHEMBL1083942	SCHEMBL4143253	CHEMBL1083942
CHEMBL1083943	SCHEMBL4143029	CHEMBL1083943
CHEMBL1084228	SCHEMBL14143067	CHEMBL1084228
CHEMBL1086237	SCHEMBL4145951	CHEMBL1086237
CHEMBL1084762	SCHEMBL3328167	CHEMBL1084762
CHEMBL1084327	SCHEMBL5730039	CHEMBL1084327
CHEMBL1084328	SCHEMBL13299023	CHEMBL1084328
CHEMBL434025	SCHEMBL4995352	CP-526423
CHEMBL3770514	SCHEMBL14895811	CHEMBL3770514
CHEMBL2408225	SCHEMBL14896171	CHEMBL2408225
CHEMBL2324344	SCHEMBL2406138	PK-THPP
CHEMBL1081188	SCHEMBL19642749	ML365
CHEMBL148342	SCHEMBL498641	498577-46-1
CHEMBL4592278	SCHEMBL498597	CHEMBL4592278
CHEMBL4283057	SCHEMBL22276976	CHEMBL4283057
CHEMBL4290253	SCHEMBL22276996	CHEMBL4290253
CHEMBL4279593	SCHEMBL22276955	CHEMBL4279593
CHEMBL4472555	SCHEMBL22276995	CHEMBL4472555
CHEMBL4453020	SCHEMBL22276792	CHEMBL4453020
CHEMBL4566262	SCHEMBL22276783	CHEMBL4566262
CHEMBL2052019	SCHEMBL1588348	ICI-D7288
CHEMBL122708	SCHEMBL305660	Estrone 3-O-Sulfamate
CHEMBL286738	SCHEMBL1275983	Irosustat
CHEMBL11185	SCHEMBL9451464	Coumate
CHEMBL44459	SCHEMBL2767285	186303-55-9
CHEMBL430879	SCHEMBL3231622	4-[(4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE
CHEMBL322322	SCHEMBL3237817	JMC503540 Compound 4
CHEMBL108483	SCHEMBL10062739	4-[(3-BROMO-4-O-SULFAMOYLBENZYL)(4-CYANOPHENYL)AMINO]-4H-[1,2,4]-TRIAZOLE
CHEMBL67175	SCHEMBL2501164	CHEMBL67175
CHEMBL108646	SCHEMBL3229745	JMC503540 Compound 3
CHEMBL136112	SCHEMBL6593369	CHEMBL136112
CHEMBL262050	SCHEMBL13229338	CHEMBL262050
CHEMBL178944	SCHEMBL2923959	CHEMBL178944
CHEMBL181738	SCHEMBL2952898	CHEMBL181738
CHEMBL1627728	SCHEMBL219961	CHEMBL1627728
CHEMBL187900	SCHEMBL6593817	CHEMBL187900
CHEMBL366144	SCHEMBL1258794	CHEMBL366144
CHEMBL372231	SCHEMBL307890	CHEMBL372231
CHEMBL362734	SCHEMBL3967814	CHEMBL362734
CHEMBL190628	SCHEMBL2452248	(9beta,14beta,17beta)-17-Hydroxy-2-Methoxyestra-1,3,5(10)-Trien-3-Yl Sulfamate
CHEMBL219321	SCHEMBL628174	Estradiol 3-sulfamate
CHEMBL425287	SCHEMBL3690812	STX-243
CHEMBL218382	SCHEMBL446846	STX140
CHEMBL221802	SCHEMBL5167329	CHEMBL221802
CHEMBL226892	SCHEMBL2060377	m-sulfamate, 14
CHEMBL390717	SCHEMBL4802331	p-sulfamate, 11
CHEMBL226736	SCHEMBL13292450	p-sulfamate, 8
CHEMBL479928	SCHEMBL3235407	Letrozole derivative, 10
CHEMBL592131	SCHEMBL306803	CHEMBL592131
CHEMBL592320	SCHEMBL4667745	CHEMBL592320
CHEMBL609618	SCHEMBL306362	CHEMBL609618
CHEMBL598211	SCHEMBL306198	CHEMBL598211
CHEMBL599442	SCHEMBL305979	CHEMBL599442
CHEMBL598199	SCHEMBL306829	CHEMBL598199
CHEMBL592376	SCHEMBL306296	CHEMBL592376
CHEMBL598009	SCHEMBL10172565	CHEMBL598009
CHEMBL1672976	SCHEMBL12274302	CHEMBL1672976
CHEMBL1672977	SCHEMBL12275256	CHEMBL1672977
CHEMBL1672978	SCHEMBL12275550	CHEMBL1672978
CHEMBL1672979	SCHEMBL12275421	CHEMBL1672979
