name	harmonized_name
CLEAVE BIOSCIENCES INC	Cleave Therapeutics
CLEMSON UNIVERSITY	Clemson University
CLEVELAND CLINIC FOUND	Cleveland Clinic
CLEVELAND CLINIC FOUNDATION	Cleveland Clinic
CLOVIS ONCOLOGY INC	Clovis Oncology
COCRYSTAL PHARMA INC	Cocrystal Pharma
COFERON INC	Coferon
COGNITIVE RES ENTERPRISES INC	Cognitive Research Corporation
COGNOA INC	Cognoa
COGNOPTIX INC	Cognoptix
COLD SPRING HARBOR LAB	Cold Spring Harbor Laboratory
COLGATE PALMOLIVE CO	Colgate-Palmolive
COMMW SCIENT IND RES ORG	Commonwealth Scientific and Industrial Research Organisation
COMPASS PATHFINDER LIMITED	COMPASS Pathways
COMPLEXA INC	Complexa
CONCERT PHARMACEUTICALS INC	Concert Pharma
CONFORMAL MEDICAL INC	Conformal Medical
CONOPCO INC DBA UNILEVER	Unilever
CONTEC THERAPEUTICS INC	Contec
CONTINENTAL REIFEN DEUTSCHLAND GMBH	Continental AG
CONVERGENE LLC	ConverGene
CORAL DRUGS PVT LTD	Coral Drugs
CORNELL UNIV CORNELL CENTER FOR TECHNOLOGY ENTERPRISE & COMMERCIALIZATION CCTEC	Cornell University
CORTECH INC	CorTech
CORTECH, INC.	CorTech
CORTEX PHARMA INC	RespireRx
COUNCIL SCIENT IND RES	Council of Scientific & Industrial Research
COVESTRO DEUTSCHLAND AG	Covestro
CRT PIONEER FUND LP	CRT Pioneer Fund
CRYSTAL PHARMACEUTICAL SUZHOU CO LTD	Crystal Pharmaceutical
CRYSTAX PHARMACEUTICALS S L	Crystax Pharmaceuticals, S.L.
CSPC ZHONGGI PHARMACEUTICAL TE	CSPC Pharmaceutical
CSPC ZHONGQI PHARMACEUTICAL TECH SHIJIAZHUANG CO LTD	CSPC Pharmaceutical
CT MEDYCZNE KSZTALCENIA PODYPLOMOWEGO	Medical Center of Postgraduate Education
CTG PHARMA S R L	CTG Pharma
CTXT PTY LTD	Canthera Discovery
CULLGEN SHANGHAI INC	Cullgen
CURACYTE CHEMISTRY GMBH	Curacyte Chemistry
CUREGENIX CORP	Curegenix
CUREVAC AG	CureVac
CURIS INC	Curis
CURIS, INC.	Curis
CURTANA PHARMACEUTICALS INC	Curtana Pharmaceuticals
CV THERAPEUTICS INC	CV Therapeutics
CV THERAPEUTICS, INC.	CV Therapeutics
CVI PHARMACEUTICALS LTD	CVI
CYCLACEL LIMITED	Cyclacel
CYCLACEL LIMTED	Cyclacel
CYCLACEL LTD	Cyclacel
CYMABAY THERAPEUTICS INC	CymaBay Therapeutics
CYPRESS BIOSCIENCE INC	Cypress Bioscience
CYTODYN INC	CytoDyn
CYTOIMMUNE THERAPEUTICS INC	Cytoimmune Therapeutics
CYTOIMMUNE THERAPEUTICS, INC.	Cytoimmune Therapeutics
CYTOKINETICS INC	Cytokinetics
CYTOVIA INC	Cytovia Therapeutics
CYTYC CORP	Cytyc
DAC SRL	DAC Srl
DAEGU GYEONGBUK MEDICAL INNOVATION FOUND	Daegu-Gyeongbuk Medical Innovation Foundation (KMEDIhub)
DAIAMED INC	Daiamed
DAIICHI PHARMACEUTICAL CO., LTD.	Daiichi Sankyo
DAIICHI SANKYO CO LTD	Daiichi Sankyo
DAIICHI SANKYO COMPANY, LIMITED	Daiichi Sankyo
DAIICHI SANKYO EUROPE GMBH	Daiichi Sankyo
DAIICHI SEIYAKU CO	Daiichi Sankyo
DAINIPPON SUMITOMO PHARMA CO	Sumitomo Chemical
DAINIPPON SUMITOMO PHARMA CO., LTD.	Sumitomo Chemical
DANA FARBER CANCER INST INC	Dana-Farber Cancer Institute
DANA-FARBER CANCER INST INC	Dana-Farber Cancer Institute
DANFOSS POWER SOLUTIONS II TECH A/S	Danfoss Power Solutions
DART NEUROSCIENCE (CAYMAN) LTD	Dart NeuroScience
DART NEUROSCIENCE LLC	Dart NeuroScience
DAVID GLADSTONE INST J	Gladstone Institutes
DAVY PROCESS TECHN LTD	Davy Technologies
DAYA CNS LLC	Daya CNS
DAYA DRUG DISCOVERIES INC	Daya Drug Discoveries
DEBIOPHARM INT SA	Debiopharm
DEBIOPHARM SA	Debiopharm
DEBRECENI EGYETEM	Debreceni Egyetem
DECIPHERA PHARMACEUTICALS INC	Deciphera Pharmaceuticals
DECIPHERA PHARMACEUTICALS LLC	Deciphera Pharmaceuticals
DECODE CHEMISTRY INC	deCode Chemistry and BioStructures
DECODE GENETICS EHF	deCODE genetics
DEL MAR PHARMACEUTICALS	Kintara Therapeutics
DELMAR PHARMACEUTICALS	Kintara Therapeutics
DEMERX INC	DemeRx
DEMETRIX INC	Demetrix
DEN MAT CORP	Den-Mat Holdings
DEN-MAT HOLDINGS, LLC	Den-Mat Holdings
DENALI THERAPEUTICS INC	Denali Therapeutics
DENKA COMPANY LTD	Denka
DENOVO BIOPHARMA LLC	Denovo Biopharma
DEPARTMENT OF SCIENCE AND TECHNOLOGY, TECHNOLOGY BHAVAN	Department of Science and Technology (DST), Ministry Of Science And Technology
DEPT OF SCIENCE AND TECHNOLOGY	Department of Science and Technology (DST), Ministry Of Science And Technology
DESIGN THERAPEUTICS INC	Design Therapeutics
DEUTERX LLC	DeuteRx
DEUTSCHES KREBSFORSCH	German Cancer Research Center (DKFZ)
DEUTSCHES KREBSFORSCHUNGSZENTRUM STIFTUNG DES OEFFENTLICHEN RECHTS	German Cancer Research Center (DKFZ)
DEXCOM INC	Dexcom
DFB BIOTECH INC	DFB Pharmaceuticals
DIAXONHIT	ExonHit Therapeutics SA
DIPHARMA FRANCIS SRL	Dipharma
DIPHARMA S A	Dipharma
DIPHARMA SA	Dipharma
DISCOVERY THERAPEUTICS INC	Discovery Therapeutics
DIZAL JIANGSU PHARMACEUTICAL CO LTD	Dizal Pharma
DOMA BIOPHARMACEUTICAL (SUZHOU) CO., LTD	Doma Biopharmaceutical
DOMAIN THERAPEUTICS	Domain Therapeutics
DOMPE SPA	Dompe
DOMPÃ‰ FARMACEUTICI S P A	Dompe
DONGWHA PHARMACEUTICAL CO LTD	Dongwha Pharm
DOOSAN CORP	Doosan
DORPHAN S A	Dorphan SA
DORSCH DIETER	Dorsh Dieter
DOT THERAPEUTICS 1 INC	Day One Biopharmaceuticals
DOUBLERAINBOW BIOSCIENCES INC	DoubleRainbow Biosciences, Inc.
DOW AGROSCIENCES LLC	Dow AgroSciences
DOW CHEMICAL CO	Dow Chemical Company
